xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.137421,-2.17229,6.16414,0.3,0.05,-0.109961,-2.18497,6.16895
-0.138409,-2.17494,6.16364,0.3,0.05,-0.111439,-2.18728,6.16822
-0.139441,-2.17796,6.16314,0.3,0.05,-0.0852144,-2.19143,6.17404
-0.140494,-2.18068,6.16262,0.3,0.05,-0.113864,-2.19189,6.16715
-0.141513,-2.18315,6.16213,0.3,0.05,-0.101175,-2.19579,6.17003
-0.143582,-2.18661,6.16113,0.3,0.05,-0.117085,-2.19774,6.16541
-0.145683,-2.18998,6.16013,0.3,0.05,-0.0918207,-2.20194,6.17126
-0.146785,-2.19257,6.15962,0.3,0.05,-0.120433,-2.2024,6.16426
-0.147877,-2.19476,6.15912,0.3,0.05,-0.12292,-2.20597,6.1631
-0.150116,-2.19872,6.15812,0.3,0.05,-0.124516,-2.20835,6.16246
-0.152405,-2.20271,6.15712,0.3,0.05,-0.124791,-2.20952,6.16236
-0.153557,-2.20479,6.15662,0.3,0.05,-0.124855,-2.21199,6.1624
-0.154685,-2.20635,6.15612,0.3,0.05,-0.127164,-2.21556,6.16123
-0.157054,-2.21021,6.15511,0.3,0.05,-0.102327,-2.21992,6.16663
-0.158244,-2.21219,6.15461,0.3,0.05,-0.117745,-2.22073,6.16279
-0.159423,-2.21385,6.15411,0.3,0.05,-0.105165,-2.22353,6.16551
-0.160594,-2.215,6.1536,0.3,0.05,-0.120867,-2.22429,6.16159
-0.161759,-2.2166,6.15311,0.3,0.05,-0.136189,-2.22635,6.15738
-0.164214,-2.21983,6.15209,0.3,0.05,-0.13647,-2.22759,6.15752
-0.165432,-2.22184,6.1516,0.3,0.05,-0.136695,-2.23007,6.15756
-0.166605,-2.22281,6.1511,0.3,0.05,-0.137463,-2.23132,6.15729
-0.167786,-2.22386,6.1506,0.3,0.05,-0.126,-2.23541,6.15933
-0.169038,-2.2255,6.15009,0.3,0.05,-0.142835,-2.23736,6.15506
-0.171567,-2.22908,6.14909,0.3,0.05,-0.145825,-2.24102,6.15401
-0.174108,-2.23206,6.14809,0.3,0.05,-0.146778,-2.24219,6.15365
-0.175382,-2.23377,6.14759,0.3,0.05,-0.149007,-2.24593,6.15256
-0.176635,-2.23511,6.14709,0.3,0.05,-0.149403,-2.24854,6.15275
-0.17925,-2.23827,6.14608,0.3,0.05,-0.150209,-2.24973,6.1525
-0.180505,-2.23941,6.14558,0.3,0.05,-0.151913,-2.25223,6.15191
-0.181808,-2.24109,6.14508,0.3,0.05,-0.152841,-2.25349,6.15129
-0.18311,-2.24266,6.14457,0.3,0.05,-0.15529,-2.25595,6.15041
-0.184409,-2.2441,6.14407,0.3,0.05,-0.156757,-2.25715,6.15
-0.185802,-2.24659,6.14357,0.3,0.05,-0.159952,-2.26083,6.14896
-0.187174,-2.24863,6.14307,0.3,0.05,-0.16233,-2.26466,6.14782
-0.190011,-2.25267,6.14206,0.3,0.05,-0.163807,-2.26848,6.14775
-0.192893,-2.25639,6.14105,0.3,0.05,-0.166229,-2.27231,6.14671
-0.195796,-2.26045,6.14006,0.3,0.05,-0.169955,-2.27601,6.14551
-0.198829,-2.26481,6.13904,0.3,0.05,-0.172892,-2.27852,6.14462
-0.201879,-2.26936,6.13805,0.3,0.05,-0.174016,-2.27972,6.14428
-0.203476,-2.27225,6.13755,0.3,0.05,-0.176293,-2.28225,6.14321
-0.205064,-2.27483,6.13705,0.3,0.05,-0.176584,-2.28357,6.14316
-0.206595,-2.2766,6.13655,0.3,0.05,-0.177906,-2.28754,6.14309
-0.208166,-2.27869,6.13604,0.3,0.05,-0.180383,-2.29007,6.14245
-0.211366,-2.28273,6.13504,0.3,0.05,-0.181373,-2.29129,6.14201
-0.212979,-2.28486,6.13454,0.3,0.05,-0.184607,-2.29515,6.14079
-0.214667,-2.28704,6.13402,0.3,0.05,-0.187795,-2.29763,6.13993
-0.217963,-2.29163,6.13304,0.3,0.05,-0.18896,-2.29885,6.13961
-0.219808,-2.29492,6.13252,0.3,0.05,-0.191285,-2.30279,6.13864
-0.221543,-2.29807,6.13204,0.3,0.05,-0.192534,-2.30542,6.13843
-0.225128,-2.30351,6.13104,0.3,0.05,-0.193684,-2.30672,6.1383
-0.227015,-2.30687,6.13054,0.3,0.05,-0.195887,-2.30925,6.13776
-0.228934,-2.30999,6.13003,0.3,0.05,-0.196992,-2.31052,6.13742
-0.23078,-2.31278,6.12954,0.3,0.05,-0.199253,-2.3131,6.13647
-0.23264,-2.3152,6.12904,0.3,0.05,-0.200418,-2.31441,6.13611
-0.234591,-2.31835,6.12854,0.3,0.05,-0.204796,-2.31819,6.13499
-0.236528,-2.32113,6.12804,0.3,0.05,-0.207593,-2.32211,6.13402
-0.240281,-2.32533,6.12704,0.3,0.05,-0.209822,-2.32604,6.13353
-0.244107,-2.32971,6.12604,0.3,0.05,-0.212256,-2.32862,6.13311
-0.247932,-2.3336,6.12504,0.3,0.05,-0.215933,-2.33252,6.13182
-0.251783,-2.3373,6.12405,0.3,0.05,-0.21964,-2.33639,6.1308
-0.255688,-2.34111,6.12305,0.3,0.05,-0.220932,-2.33762,6.13064
-0.257636,-2.34266,6.12255,0.3,0.05,-0.223734,-2.34021,6.12975
-0.259589,-2.34417,6.12205,0.3,0.05,-0.224478,-2.34155,6.12947
-0.261547,-2.34567,6.12155,0.3,0.05,-0.212829,-2.34625,6.13218
-0.26359,-2.34786,6.12105,0.3,0.05,-0.229747,-2.34812,6.12841
-0.267683,-2.35223,6.12005,0.3,0.05,-0.231033,-2.34939,6.12813
-0.26978,-2.3545,6.11956,0.3,0.05,-0.23367,-2.35198,6.12713
-0.271945,-2.35723,6.11906,0.3,0.05,-0.234522,-2.35328,6.12689
-0.274096,-2.35935,6.11855,0.3,0.05,-0.237583,-2.35586,6.12609
-0.276141,-2.36109,6.11806,0.3,0.05,-0.238871,-2.3571,6.1258
-0.278253,-2.363,6.11756,0.3,0.05,-0.241896,-2.3597,6.12519
-0.280373,-2.36457,6.11705,0.3,0.05,-0.242112,-2.36108,6.125
-0.28245,-2.36635,6.11657,0.3,0.05,-0.230059,-2.36589,6.12789
-0.284596,-2.36829,6.11607,0.3,0.05,-0.218452,-2.36923,6.13053
-0.286813,-2.37042,6.11556,0.3,0.05,-0.234663,-2.36973,6.12693
-0.288891,-2.37192,6.11507,0.3,0.05,-0.223058,-2.37304,6.12922
-0.291028,-2.37352,6.11457,0.3,0.05,-0.253298,-2.37283,6.12227
